"#","Reference","Qty","Value","Footprint","DNP","CatNo","MfgNo"
"1","C1, C2","2","0.1uF","Capacitor_SMD:C_0402_1005Metric","","478-KGM05AR71C104KNCT-ND","KGM05AR71C104KN"
"2","D1","1","LED","LED_SMD:LED_0402_1005Metric","","1497-1174-1-ND","XZMDK68W-2"
"3","J1","1","-OMIT-","Connector_PinHeader_1.27mm:PinHeader_1x04_P1.27mm_Vertical","DNP","",""
"4","J2","1","A-2004-3-4-LP-N-R","my_RJ:A-2004-3-4-LP","DNP","AE10381-ND","A-2004-3-4-LP-N-R"
"5","J3","1","-OMIT-","Connector_PinHeader_1.00mm:PinHeader_1x06_P1.00mm_Vertical","DNP","",""
"6","JP1, JP2","2","-OMIT-","Resistor_SMD:R_0402_1005Metric","DNP","",""
"7","R1","1","680","Resistor_SMD:R_0402_1005Metric","","1292-WR04X6800FTLCT-ND","WR04X6800FTL"
"8","U2","1","ISM330DHCX","models:LGA-14L","","497-19784-1-ND","ISM330DHCXTR"
"9","U3","1","ATmega168A-MM","Package_DFN_QFN:QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm","","ATMEGA168PA-MMHRCT-ND","ATMEGA168PA-MMHR"
