#XYRS data for /DetectorBackplane/DetBackplaneSingleLayer01.brd.
#Board Size is 960.000000 x 1300.000000.
#
#Placement Data:
#Designator	X-Loc	Y-Loc	Rotation	Side	Type	X-Size	Y-Size	Value	Footprint	Populate	MPN
J1	773.86	650.00	90	1	1	1194.88	299.21	M20X2_HARFLEX_M	M20X2_HARFLEX_M	1	
J2	186.14	650.00	270	1	1	1194.88	299.21	M20X2_HARFLEX_M	M20X2_HARFLEX_M	1	
TP1	380.00	375.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP2	405.00	115.00	0	1	2	43.31	43.31	TESTPOINT1X01	1X01	1	
TP3	380.00	875.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
TP4	580.00	425.00	0	1	1	40.00	40.00	TESTPOINT_ROUND	TESTPAD_ROUND	1	
